"store","websites","attribute_set","type","sku","category_ids","has_options","name","meta_title","meta_description","url_key","url_path","options_container","image_label","small_image_label","thumbnail_label","image","small_image","thumbnail","gift_message_available","custom_design","page_layout","manf_pn","gtin","price","weight","description","short_description","meta_keyword","custom_layout_update","height","width","length","dangerous_goods_options","status","visibility","tax_class_id","enable_googlecheckout","manufacturer","condition_of_item","prod_type","special_packaging","free_shipping","dangerous_goods","in_stock","shipping_charge","package_qty","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_automatically","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","google_category","special_price","special_from_date","special_to_date","thickness","needle_gauge","needle_length","drillbit_finish"
"admin","base","Default","simple","404-002","4","0","Security Tamper Proof Screwdriver Bit Set 100 pcs","","","security-tamper-proof-screwdriver-bit-set-100-pcs","security-tamper-proof-screwdriver-bit-set-100-pcs.html","Block after Info Column","security bit set","security bit set","security bit set","/4/0/404-002a.jpg","/4/0/404-002a.jpg","/4/0/404-002a.jpg","Use config",""," , No layout updates","404-002","837013100621","7.9900","1.0000","<h1>100 Piece Security Bit Set</h1>
<p>A complete set of security bits to give you full access to protected components.  A must for DIY-ers!</p>
<p>Set Includes</p>
<ul>
    <li>Phillips: #0, #1,#3, (5)#2</li>
    <li>Pozi: #0, #1,#3, (5)#2</li>
    <li>Slotted: 3, 4, 4.5, 5, 5.5, 6, 6.5, 7, 8mm</li>
    <li>Square: #0, 1, 2, 3</li>
    <li>Spanner: #4, 6, 8, 10</li>
    <li>Torx: T-8, 10, 15, 20, 25, 27, 30, 40, 45</li>
    <li>Hollow-Tip Torx: T-8, 10, 15, 20, 25, 27, 30, 35, 40</li>
    <li>Torq-Set: #6, 8, 10</li>
    <li>Metric Hex: 1.5, 2, 2.5, 3, 4, 5, 5.5, 6, 8mm</li>
    <li>Hollow Metric Hex: 2, 2.5, 3, 4, 5, 6</li>
    <li>SAE Hex: 1/16, 5/64, 3/32, 7/64, 1/8, 9/64, 5/32, 3/16, 7/32, 1/4</li>
    <li>Hollow SAE Hex: 5/64, 3/32, 7/64, 1/8, 9/64, 5/32</li>
    <li>Spline: M5, M6, M8</li>
    <li>Clutch: #1, 2, 3</li>
    <li>Tri-Wing: #1, 2, 3, 4</li>
</ul>
<ul>
    <li>Hex end to 1/4 drive adapter</li>
    <li>Magnetic hex bit driver</li>
    <li>One y-design hook hanging bit</li>
    <li>1/4 hex to 1/4 socket wobble adapter</li>
    <li>1/4 hex wobble adapter</li>
    <li>Durable hard plastic case</li>
</ul>
<p>Ship Weight: 1.5 lbs</p>","<p>100 bits to remove every screw imaginable. Contains Torx, torque, spanner, phillips, hollow tip SAE and Metric hex bits, and more!</p>","","","","","","","Enabled","Catalog, Search","Taxable Goods","Yes","CML Supply","New","Business & Industrial","0","0","0","In Stock","US:::Calculated a","Each","100.0000","1.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","0","0","Security Tamper Proof Screwdriver Bit Set 100 pcs","0","simple","","","","","","","","","",""
"admin","base","Default","simple","000-001","","0","Free Gift With Registration on www.CML Supply.com","","","free-gift-with-registration-on-www-cml-supply-com","free-gift-with-registration-on-www-cml-supply-com.html","Block after Info Column","","","","","","","Use config","","","","","0.0000","0.0000","Register on our site and receive this FREE GIFT!

No purchase necessary. Just register on our site. 
IF YOU'RE PLACING AN ORDER- Add this item to your cart, and it will be included with your order.  NO MINUMUM AMOUNT REQUIRED. Please, only one free item per order.","Register on our site and receive this FREE GIFT!
","","","","","","","Disabled","Catalog, Search","Taxable Goods","Yes","CML Supply","New","Business & Industrial","","","","In Stock","US:::Calculated a","Each","100.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","Free Gift With Registration on www.CML Supply.com","0","simple","","","","","","","","","",""
"admin","base","Default","simple","000-010","","0","Free Gift with Every order!","","","free-gift-with-every-order","free-gift-with-every-order.html","Block after Info Column","","","","","","","Use config",""," , No layout updates","000-010","","0.0000","0.0000","<p>Place an order and receive this free gift! No Minimum Required <b>Add this item to your cart,</b> and it will be included with your order.  Please, only one free item per order.</p>","<p>Place an order and receive this free gift! No Minimum Required. Add this item to your cart, and it will be included with your order.  Please, only one free item per order.</p>","","","","","","","Disabled","Catalog, Search","Taxable Goods","Yes","Michigan Industrial Tools","New","Business & Industrial","","","","In Stock","US:::Calculated a","Each","100.0000","2.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","Free Gift with Every order!","0","simple","","","","","","","","","",""
"admin","base","Default","simple","015-001","11","0","Free Gift with $15 Purchase- 6-inch pocket ruler","","","free-gift-with-purchase","free-gift-with-purchase.html","Block after Info Column","pocket ruler","pocket ruler","pocket ruler","/3/1/313-002_1.jpg","/3/1/313-002_1.jpg","/3/1/313-002_1.jpg","Use config",""," , No layout updates","015-001","","0.0000","0.2000","<p>Purchase $15 or more (pre-shipping and tax) and receive this free gift! Add this item to your cart, and it will be included with your order.  Please, only one free item per order.</p>","<p>Purchase $15 or more (pre-shipping and tax) and receive this free gift! Add this item to your cart, and it will be included with your order.  Please, only one free item per order.</p>","","","","","","","Disabled","Catalog, Search","Taxable Goods","Yes","CML Supply","New","Business & Industrial","0","0","0","In Stock","US:::Calculated a","Each","100.0000","0.0000","1","0","0","1","1.0000","1","1.0000","0","1","","0.0000","1","0","1","0","Free Gift with $15 Purchase- 6-inch pocket ruler","0","simple","","","","","","","","","",""
"admin","base","Default","simple","030-001","","0","Free Thomas & Betts Hat with $30 purchase","","","free-thomas-and-betts-hat-with-30-purchase","free-thomas-and-betts-hat-with-30-purchase.html","Block after Info Column","","","","","","","Use config",""," , No layout updates","030-001","","0.0000","0.0000","<p>Purchase $30 or more (pre-shipping and tax) and receive this FREE GIFT!  Add this item to your cart, and it will be included with your order.  Please, only one free item per order.</p>","<p>Purchase $30 or more (pre-shipping and tax) and receive this FREE GIFT!  Add this item to your cart, and it will be included with your order.  Please, only one free item per order.</p>","","","","","","","Disabled","Catalog, Search","Taxable Goods","Yes","CML Supply","New","Business & Industrial","0","0","0","In Stock","US:::Calculated a","Each","100.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","Free Thomas & Betts Hat with $30 purchase","0","simple","","","","","","","","","",""
"admin","base","Default","simple","035-001","","0","Free Thomas & Betts Camo Hat with $35 purchase","","","free-thomas-and-betts-camo-hat-with-35-purchase","free-thomas-and-betts-camo-hat-with-35-purchase.html","Block after Info Column","","","","","","","Use config",""," , No layout updates","030-001","","0.0000","0.0000","<p>Purchase $35 or more (pre-shipping and tax) and receive this FREE GIFT!  Add this item to your cart, and it will be included with your order.  Please, only one free item per order.</p>","<p>Purchase $35 or more (pre-shipping and tax) and receive this FREE GIFT!  Add this item to your cart, and it will be included with your order.  Please, only one free item per order.</p>","","","","","","","Disabled","Catalog, Search","Taxable Goods","Yes","CML Supply","New","Business & Industrial","0","0","0","In Stock","US:::Calculated a","Each","100.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","Free Thomas & Betts Camo Hat with $35 purchase","0","simple","","","","","","","","","",""
"admin","base","Default","simple","050-001","","0","Free Folding Utility Knife with $60 purchase","","","free-folding-utility-knife-with-60-purchase","free-folding-utility-knife-with-60-purchase.html","Block after Info Column","","","","","","","Use config",""," , No layout updates","050-001","","0.0000","0.0000","<p>Purchase $60 or more (pre-shipping and tax) and receive this FREE GIFT!  Add this item to your cart, and it will be included with your order.  Please, only one free item per order.</p>","<p>Purchase $60 or more (pre-shipping and tax) and receive this FREE GIFT!  Add this item to your cart, and it will be included with your order.  Please, only one free item per order.</p>","","","","","","","Disabled","Catalog, Search","Taxable Goods","Yes","Michigan Industrial Tools","New","Business & Industrial","0","0","0","In Stock","US:::Calculated a","Each","100.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","Free Folding Utility Knife with $60 purchase","0","simple","","","","","","","","","",""
"admin","base","Default","simple","050-002","","0","Free LED Flashlight with $50 purchase","","","free-led-flashlight-with-50-purchase","free-led-flashlight-with-50-purchase.html","Block after Info Column","","","","","","","Use config",""," , No layout updates","050-002","","0.0000","0.0000","<p>Purchase $50 or more (pre-shipping and tax) and receive this FREE GIFT!  Add this item to your cart, and it will be included with your order.  Please, only one free item per order.</p>","<p>Purchase $50 or more (pre-shipping and tax) and receive this FREE GIFT! Add this item to your cart, and it will be included with your order.  Please, only one free item per order.</p>","","","","","","","Disabled","Catalog, Search","Taxable Goods","Yes","Michigan Industrial Tools","New","Business & Industrial","0","0","0","In Stock","US:::Calculated a","Each","100.0000","1.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","Free LED Flashlight with $50 purchase","0","simple","","","","","","","","","",""
"admin","base","Default","simple","101-100","16","0","Solderless Crimp Terminal Red 22-18 #4 Ring","","","solderless-crimp-terminal-red-22-18-4-ring","solderless-crimp-terminal-red-22-18-4-ring.html","Block after Info Column","","","","/1/0/101-10x.jpg","/1/0/101-10x.jpg","/1/0/101-10x.jpg","Use config","","","","","5.9900","0.3000","<p>High quality terminal with vinyl insulator and serrated barrel for high pull-out strength. </p>
<p>Packed in labeled zip-lock bags for convenience. Sold in packs of 100.  </p>
<p>Choose your discount when ordered in larger quantities!</p>","Ring terminal pack of 100","","","","","","","Disabled","Catalog, Search","Taxable Goods","Yes","CML Supply","New","Business & Industrial","","","","In Stock","US:::Calculated a","Each","100.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","Solderless Crimp Terminal Red 22-18 #4 Ring","0","simple","","","","","","","","","",""
"admin","base","Default","simple","101-101","16","0","Solderless Crimp Terminal Red 22-18 #6 Ring","","","solderless-crimp-terminal-red-22-18-6-ring","solderless-crimp-terminal-red-22-18-6-ring.html","Block after Info Column","","","","/1/0/101-10x_1.jpg","/1/0/101-10x_1.jpg","/1/0/101-10x_1.jpg","Use config","","","","","5.9900","0.3000","<p>High quality terminal with vinyl insulator and serrated barrel for high pull-out strength. </p>
<p>Packed in labeled zip-lock bags for convenience. Sold in packs of 100.  </p>
<p>Choose your discount when ordered in larger quantities!</p>","Ring terminal pack of 100","","","","","","","Disabled","Catalog, Search","Taxable Goods","Yes","CML Supply","New","Business & Industrial","","","","In Stock","US:::Calculated a","Each","100.0000","100.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","Solderless Crimp Terminal Red 22-18 #6 Ring","0","simple","","","","","","","","","",""
